Unnamed: 0,id,atm_group,address,address_rus,lat,long,target
0,8526,32,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",46.940995,142.738319,0.01149982092
1,8532,32,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.02971026504
2,8533,32,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.741113,0.009539960883
3,8684,32,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805837,37.515164,-0.09403462448
4,37,32,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.07927735201
5,313,32,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.16586,131.908212,-0.1450012315
6,335,32,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063,-0.02468223524
7,358,32,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.1334258835
8,2895,32,Zhivopisnaia 136       d.Velednikov,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.79977,37.116025,0.1414693533
9,1975,496.5,BEKESHSKAYA 39            PENZA,"Бекешская улица, 39, Пенза, Россия, 440018",53.20322,44.978826,0.01725893327
10,1977,496.5,B.MOSKOVSKAYA 90A         VLADIMIR,"Большая Московская улица, 90А, Владимир, Россия, 600000",56.132925,40.419184,-0.01394900471
11,1992,496.5,GORKOGO 20                TAMBOV,"улица Максима Горького, 20, Тамбов, Россия",52.718497,41.454511,-0.04843573941
12,1998,496.5,KURASHOVA 28/1            YAKUTSK,"улица Курашова, 28/1, Якутск, Республика Саха (Якутия), Россия, 677000",62.033259,129.736382,-0.06429329745
13,2006,496.5,LENINA 32                 MUROM,"улица Ленина, 32, Муром, Владимирская область, Россия, 602267",55.577108,42.05437,-0.100121429
14,2011,496.5,BOROVSKAYA 5              BALABANOVO,"Боровская улица, 5, Балабаново, Боровский район, Калужская область, Россия, 249000",55.180598,36.655611,-0.0008294956654
15,2012,496.5,SOVETSKAYA 21             ZHUKOV,"Советская улица, 21, Жуков, Калужская область, Россия, 249191",55.027991,36.750518,-0.04766784042
16,2017,496.5,DORZHIEVA 24A             MUKHORSHIBIR,"улица Доржиева, 24А, село Мухоршибирь, Республика Бурятия, Россия",51.04894,107.822322,0.01737264398
17,2022,496.5,SADOVAYA 27B              KRIVODANOVKA,"Садовая улица, 27, село Криводановка, Новосибирский район, Новосибирская область, Россия",55.086363,82.64683,-0.02765736579
18,2023,496.5,SOVETSKAYA 19             KUGESI,"Советская улица, 19, поселок городского типа Кугеси, Чебоксарский район, Чувашская Республика, Россия, 429500",56.029642,47.294593,-0.07787119186
19,2027,496.5,MELNIKOVA 106             CHERLAK,"улица Мельникова, 106, посёлок городского типа Черлак, Черлакский район, Омская область, Россия, 646250",54.151887,74.79789,-0.05062668553
20,2033,496.5,POBEDY 67/2               PETROPAVLOVS,"проспект Победы, 67/2, Петропавловск-Камчатский, Камчатский край, Россия, 683902",53.070598,158.588014,0.01906074285
