iter	RMSE
0	0.0828231378
1	0.08033389486
2	0.07772629058
3	0.07544802951
4	0.07323780077
5	0.07131329732
6	0.06940006392
7	0.06785967804
8	0.06621552331
9	0.06476157717
10	0.06329946259
11	0.06208967578
12	0.06093085842
13	0.05997523605
14	0.05907185111
15	0.05829041544
16	0.05731960221
17	0.05654592485
18	0.05577309248
19	0.05499100949
20	0.05442728077
21	0.05370888596
22	0.05307093426
23	0.05249374201
24	0.05209659403
25	0.05159486077
26	0.05125813683
27	0.05077778639
28	0.05044653535
29	0.05015928466
30	0.04983384478
31	0.04948617207
32	0.04912875809
33	0.04888235381
34	0.04867182135
35	0.04838313764
36	0.0481613714
37	0.04792340019
38	0.04764629652
39	0.04746190144
40	0.04733042298
41	0.04709819442
42	0.04692019845
43	0.04670820977
44	0.04656026584
45	0.04642355818
46	0.04620940745
47	0.04605652598
48	0.0458744908
49	0.04570574285
50	0.04563670224
51	0.04551249016
52	0.04534892693
53	0.04527513954
54	0.04514327726
55	0.04498843236
56	0.04484449726
57	0.04472613271
58	0.04463599786
59	0.04451189207
60	0.04438228835
61	0.04420865683
62	0.04410787512
63	0.04402456353
64	0.04395434861
65	0.0438391209
66	0.04373599471
67	0.04365563044
68	0.04356664517
69	0.04342753148
70	0.04334644082
71	0.0432716384
72	0.04318162529
73	0.04313861723
74	0.04303631528
75	0.04302577324
76	0.04288656479
77	0.04280786138
78	0.04263273914
79	0.04254305564
80	0.04241320528
81	0.0423161319
82	0.04228897249
83	0.04223390129
84	0.04218778476
85	0.04208567868
86	0.04195936823
87	0.04192190333
88	0.04185056961
89	0.04178192186
90	0.04171616141
91	0.04159572611
92	0.04154539428
93	0.04145272371
94	0.04142024647
95	0.0413159372
96	0.04126744958
97	0.04122505388
98	0.04114223599
99	0.04109498904
100	0.04104445757
101	0.04097477323
102	0.0408336001
103	0.04074081513
104	0.04061201314
105	0.04054392966
106	0.04049576337
107	0.04045561959
108	0.0404195144
109	0.04032007859
110	0.04030658165
111	0.0402404333
112	0.04011465209
113	0.04007452285
114	0.04000417949
115	0.03995917112
116	0.03989499066
117	0.03980275522
118	0.03977727571
119	0.03975462945
120	0.03969512827
121	0.0396635933
122	0.03965694804
123	0.03959812829
124	0.0395187588
125	0.03949452392
126	0.03943502927
127	0.03938668889
128	0.03937003323
129	0.03935928749
130	0.03932093432
131	0.03930333643
132	0.03923011895
133	0.03917687388
134	0.03911042775
135	0.03895934922
136	0.03891836591
137	0.03884878669
138	0.03878627351
139	0.03867960111
140	0.03866476321
141	0.03857863081
142	0.03854965462
143	0.03845208504
144	0.03835489229
145	0.03828523914
146	0.03828429212
147	0.03819227368
148	0.03814400006
149	0.03806264423
150	0.03801412929
151	0.03800634967
152	0.0380046836
153	0.03795215686
154	0.03794536702
155	0.03788334804
156	0.03788237086
157	0.03788051924
158	0.03783003008
159	0.03782558465
160	0.03782419678
