,id,atm_group,address,address_rus,lat,long,target,population,schools_nearby,supermarket_nearby,mall_nearby,bar_nearby,cafe_nearby,restaurant_nearby,food_nearby,police_nearby,post_office_nearby,place_of_worship_nearby,university_nearby,cinema_nearby,casino_nearby,nightclub_nearby,atm_nearby
0,8526.0,32,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",46.940995,142.738319,0.01149982092,194 882,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0.0
1,8532.0,32,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.02971026504,194 882,3,2,5,1,4,2,7,0,1,1,0,0,0,0,1.0
2,8533.0,32,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.741113,0.009539960883,194 882,4,2,2,2,7,2,11,0,0,0,1,0,0,1,3.0
3,8684.0,32,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805837,37.515164,-0.09403462448,13 104 177,4,5,2,4,29,12,45,3,5,1,0,0,0,0,13.0
4,37.0,32,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.07927735201,179 554,7,2,0,0,6,1,7,0,2,2,1,1,0,0,2.0
5,313.0,32,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.16586,131.908212,-0.1450012315,603 519,3,3,11,0,10,4,14,1,3,1,0,1,0,0,6.0
6,335.0,32,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063,-0.02468223524,13 104 177,5,4,0,1,15,3,19,0,1,0,3,0,0,0,6.0
7,358.0,32,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.1334258835,603 519,4,4,14,30,74,29,133,3,4,2,3,1,0,0,31.0
8,2895.0,32,Zhivopisnaia 136       d.Velednikov,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.79977,37.116025,0.1414693533,3 243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,1975.0,496.5,BEKESHSKAYA 39            PENZA,"Бекешская улица, 39, Пенза, Россия, 440018",53.20322,44.978826,0.01725893327,488 919,2,1,0,0,1,0,1,0,1,2,0,0,0,0,0.0
10,1977.0,496.5,B.MOSKOVSKAYA 90A         VLADIMIR,"Большая Московская улица, 90А, Владимир, Россия, 600000",56.132925,40.419184,-0.01394900471,349 951,1,2,0,0,9,5,14,1,1,10,4,0,0,0,7.0
11,1992.0,496.5,GORKOGO 20                TAMBOV,"улица Максима Горького, 20, Тамбов, Россия",52.718497,41.454511,-0.04843573941,261 803,4,2,2,4,7,5,16,0,1,2,3,0,0,0,5.0
12,1998.0,496.5,KURASHOVA 28/1            YAKUTSK,"улица Курашова, 28/1, Якутск, Республика Саха (Якутия), Россия, 677000",62.033259,129.736382,-0.06429329745,355 443,2,0,10,0,5,5,10,0,2,2,2,2,0,0,1.0
13,2006.0,496.5,LENINA 32                 MUROM,"улица Ленина, 32, Муром, Владимирская область, Россия, 602267",55.577108,42.05437,-0.100121429,107 497,6,3,6,4,18,5,27,0,4,3,0,1,0,0,1.0
14,2011.0,496.5,BOROVSKAYA 5              BALABANOVO,"Боровская улица, 5, Балабаново, Боровский район, Калужская область, Россия, 249000",55.180598,36.655611,-0.0008294956654,29 581,1,6,2,0,2,0,2,1,2,1,0,0,0,0,2.0
15,2012.0,496.5,SOVETSKAYA 21             ZHUKOV,"Советская улица, 21, Жуков, Калужская область, Россия, 249191",55.027991,36.750518,-0.04766784042,16 590,0,1,0,0,1,0,1,2,2,1,0,0,0,0,1.0
16,2017.0,496.5,DORZHIEVA 24A             MUKHORSHIBIR,"улица Доржиева, 24А, село Мухоршибирь, Республика Бурятия, Россия",51.04894,107.822322,0.01737264398,5 209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2022.0,496.5,SADOVAYA 27B              KRIVODANOVKA,"Садовая улица, 27, село Криводановка, Новосибирский район, Новосибирская область, Россия",55.086363,82.64683,-0.02765736579,9 209,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0.0
18,2023.0,496.5,SOVETSKAYA 19             KUGESI,"Советская улица, 19, поселок городского типа Кугеси, Чебоксарский район, Чувашская Республика, Россия, 429500",56.029642,47.294593,-0.07787119186,13 378,0,1,0,0,1,0,1,1,2,1,0,0,0,0,1.0
19,2027.0,496.5,MELNIKOVA 106             CHERLAK,"улица Мельникова, 106, посёлок городского типа Черлак, Черлакский район, Омская область, Россия, 646250",54.151887,74.79789,-0.05062668553,10 679,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0.0
20,2033.0,496.5,POBEDY 67/2               PETROPAVLOVS,"проспект Победы, 67/2, Петропавловск-Камчатский, Камчатский край, Россия, 683902",53.070598,158.588014,0.01906074285,164 900,0,3,5,2,7,1,10,0,0,0,0,2,0,0,5.0
21,2034.0,496.5,POLEVAYA 4                MEDVEDEVO,"Полевая улица, 4, посёлок городского типа Медведево, Медведевский район, Республика Марий Эл, Россия, 425200",56.63759,47.803974,-0.02747519612,23 214,3,4,1,1,2,0,3,1,1,0,0,0,0,0,1.0
22,2035.0,496.5,UPITA 5A                  KIROV,"улица Андрея Упита, 5А, Киров, Россия, 610050",58.605564,49.591163,-0.1013755909,468 212,2,5,0,0,1,0,1,1,0,0,0,0,0,1,0.0
23,2850.0,496.5,VOSTOCHNAYA 42/7          ORENBURG,"Восточная улица, 42/7, Оренбург, Россия, 460021",51.784175,55.153504,-0.08652950913,543 654,2,4,0,0,1,0,1,1,1,0,0,0,0,0,1.0
24,2873.0,496.5,AMURSKAYA 13              CHITA,"Амурская улица, 13, Чита, Забайкальский край, Россия, 672039",52.023722,113.513428,-0.07328752901,334 427,0,1,0,0,0,0,0,0,1,3,1,0,0,0,4.0
25,2876.0,496.5,VOROVSKOGO 43             KIROV,"улица Воровского, 43, Киров, Россия",58.594438,49.666657,-0.1105973683,468 212,0,3,3,1,7,3,11,0,1,1,3,0,0,0,6.0
26,2877.0,496.5,LENINA 3                  PRISTEN,"улица Ленина, 3, посёлок городского типа Пристень, Пристенский район, Курская область, Россия, 306200",51.235052,36.694293,-0.07879399868,9 684,3,4,0,0,1,0,1,0,1,2,0,0,0,0,0.0
27,2897.0,496.5,KARLA MARKSA 76/1         KURGAN,"улица Карла Маркса, 76/1, Курган, Россия",55.442245,65.35418,-0.02614658823,310 911,4,8,1,0,2,5,7,1,1,0,1,0,0,0,2.0
28,2900.0,496.5,KALACHINSKAYA 25          KALACHINSK,"Калачинская улица, 25, Калачинск, Омская область, Россия, 646900",55.047822,74.588663,0.01820882754,22 520,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0
29,2914.0,496.5,ZAVOYKO 7                 ELIZOVO,"улица Завойко, 7, Елизово, Камчатский край, Россия, 684000",53.1871,158.383863,0.06135092767,38 980,2,2,5,2,5,2,9,1,3,1,0,0,0,0,2.0
30,2923.0,496.5,19-LINIYA 10              IVANOVO,"19-я линия, 10, Иваново, Россия, 153031",56.989885,40.932023,-0.04473002151,361 644,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0.0
31,2951.0,496.5,DEYNEKI 19                KURSK,"улица Дейнеки, 19, микрорайон КЗТЗ, Курск, Россия, 305047",51.704063,36.142449,-0.06321061892,440 52,5,5,0,0,1,1,2,0,2,1,0,0,0,0,5.0
