actual,predicted,error,abs_error
0.002210089693,-0.10283634596640151,0.10504643565940151,0.10504643565940151
-0.0007706740834,-0.09467706674448852,0.09390639266108852,0.09390639266108852
0.008161264516,0.09433206513847922,-0.08617080062247923,0.08617080062247923
0.006926401115,0.09218518005630012,-0.08525877894130013,0.08525877894130013
-0.02164782164,-0.10431722825171585,0.08266940661171586,0.08266940661171586
0.01471293162,-0.05766604494720696,0.07237897656720696,0.07237897656720696
-0.02133614719,0.04989198640057207,-0.07122813359057206,0.07122813359057206
0.1397553401,0.2068908014487541,-0.06713546134875412,0.06713546134875412
-0.01933409836,-0.0851061038016732,0.0657720054416732,0.0657720054416732
0.1942232532,0.1304831039259366,0.0637401492740634,0.0637401492740634
0.1098376611,0.1720238501963682,-0.06218618909636821,0.06218618909636821
0.1403477228,0.20121018419790238,-0.060862461397902384,0.060862461397902384
0.1685457723,0.10850706598123885,0.060038706318761154,0.060038706318761154
0.04263654365,-0.016715639324286907,0.059352182974286904,0.059352182974286904
0.04263654365,-0.016715639324286907,0.059352182974286904,0.059352182974286904
0.04263654365,-0.016715639324286907,0.059352182974286904,0.059352182974286904
0.04263654365,-0.016715639324286907,0.059352182974286904,0.059352182974286904
-0.01554957038,-0.07489905343637704,0.059349483056377036,0.059349483056377036
0.160567869,0.10167965192518902,0.05888821707481098,0.05888821707481098
0.004402219792,0.06074808427825286,-0.05634586448625286,0.05634586448625286
